SU_ID,Lon,Lat
Pol_1,-61.44255043,15.63597747
Pol_2,-61.43916217,15.63859735
Pol_3,-61.44125389,15.63606344
Pol_4,-61.43968563,15.63526306
Pol_5,-61.42271103,15.63621647
Pol_6,-61.41690752,15.63311065
Pol_7,-61.44627365,15.63805932
Pol_8,-61.4445703,15.63249173
Pol_9,-61.45598297,15.63658616
Pol_10,-61.45764629,15.63261265
Pol_11,-61.45253757,15.63312803
Pol_12,-61.45119974,15.62960323
Pol_13,-61.45504024,15.62896019
Pol_14,-61.43750387,15.63439035
Pol_15,-61.41920603,15.63182229
Pol_16,-61.42311876,15.62866349
Pol_17,-61.45039161,15.63241601
Pol_18,-61.45536704,15.62760264
Pol_19,-61.43265413,15.63269329
Pol_20,-61.42755744,15.63870271
Pol_21,-61.45632189,15.62517486
Pol_22,-61.45752637,15.62464574
Pol_23,-61.4485651,15.62540308
Pol_24,-61.43554034,15.63245591
Pol_25,-61.43557537,15.62461734
Pol_26,-61.44499456,15.62940568
Pol_27,-61.41879232,15.62805423
Pol_28,-61.41902181,15.62510818
Pol_29,-61.44462679,15.62273639
Pol_30,-61.43899679,15.62322428
Pol_31,-61.43063673,15.63147473
Pol_32,-61.42745558,15.63359999
Pol_33,-61.41782895,15.62466314
Pol_34,-61.41769184,15.62315127
Pol_35,-61.44787517,15.62408819
Pol_36,-61.41116749,15.62184759
Pol_37,-61.41106255,15.61948303
Pol_38,-61.41993799,15.61919617
Pol_39,-61.46594215,15.62057267
Pol_40,-61.40962837,15.61748041
Pol_41,-61.41607737,15.61782908
Pol_42,-61.46276881,15.61943957
Pol_43,-61.44859707,15.61692985
Pol_44,-61.46259514,15.61636553
Pol_45,-61.41897007,15.61846513
Pol_46,-61.4301219,15.61899975
Pol_47,-61.42766496,15.61938162
Pol_48,-61.42836852,15.61549721
Pol_49,-61.45822607,15.6153467
Pol_50,-61.45472331,15.61236498
Pol_51,-61.46617157,15.61664684
Pol_52,-61.40801517,15.61340772
Pol_53,-61.40824201,15.61491781
